Type,Quartier,Price,Area,Rooms,Bedrooms,Bathrooms,Status
Appartement,Haut Founty,1290500,89,3,2,2,Nouveau
Appartement,Secteur Touristique,4900000,162,3,2,1,Bon état
Appartement,Secteur Touristique,1500000,86,4,2,2,À rénover
Appartement,Founti,1470000,107,1,3,2,Bon état
Maison,Hay Najah,,300,4,3,2,Nouveau
Appartement,Haut Founty,1200000,79,4,2,2,Nouveau
Maison,Hay Dakhla,,110,6,4,2,Bon état
Appartement,Founti,1800000,80,1,2,2,Bon état
Appartement,Hay Mohammadi,490000,56,3,3,1,Bon état
Appartement,Charaf,,91,3,2,2,Nouveau
Appartement,Port,360000,52,1,2,1,Bon état
Villa,Taddart,3000000,150,4,3,2,Bon état
Appartement,Haut Founty,2200000,150,4,3,2,Nouveau
Appartement,Hay Mohammadi,950000,91,N/A,2,2,N/A
Appartement,Lekhiam,900000,84,N/A,3,1,N/A
Appartement,Hay Salam,620000,65,N/A,2,1,N/A
Appartement,Cité Adrar,650000,67,N/A,2,2,N/A
Appartement,Tilila,750000,82,N/A,2,1,N/A
Appartement,Hay Dakhla,700000,87,N/A,2,1,N/A
Appartement,Hay Dakhla,940000,179,N/A,3,1,N/A
Villa,Hay Najah,3500000,360,8,4,2,Bon état
Appartement,Hay Salam,720000,72,N/A,2,1,N/A
Villa,Hay Dakhla,5000000,366,N/A,3,2,N/A
Villa,Founti,,400,6,3,3,Nouveau
Villa,Founti,6000000,171,N/A,4,3,N/A
Appartement,Hay Mohammadi,1250000,103,N/A,2,2,N/A
Appartement,Hay Mohammadi,700000,64,N/A,2,1,N/A
Appartement,Secteur Touristique,950000,85,3,2,1,Bon état
Appartement,Hay Mohammadi,1650000,154,6,3,2,Bon état
Appartement,Amicales,890000,101,N/A,2,1,N/A
Appartement,Ben Serguaou,1000000,90,N/A,2,2,N/A
Maison,Extension Dakhla,1500000,75,7,5,3,Bon état
Maison,Hay Salam,1900000,100,7,5,3,Bon état
Maison,Hay Dakhla,1650000,80,7,5,3,Bon état
Maison,Tilila,1750000,112,7,4,3,À rénover
Appartement,Hay Dakhla,750000,80,N/A,2,1,N/A
Appartement,Hay Salam,1100000,114,N/A,3,2,N/A
